,Date,Close
477,2013-04-22,123.74
478,2013-04-23,137.29
479,2013-04-24,149.0
480,2013-04-25,141.9
481,2013-04-26,137.3
482,2013-04-27,128.8
483,2013-04-28,135.28
484,2013-04-29,143.31
485,2013-04-30,139.88
486,2013-05-01,116.75
487,2013-05-02,106.81
488,2013-05-03,98.08
489,2013-05-04,112.62
490,2013-05-05,116.57
491,2013-05-06,112.71
492,2013-05-07,110.0
493,2013-05-08,113.16
494,2013-05-09,111.96
495,2013-05-10,117.9
496,2013-05-11,115.04
497,2013-05-12,114.5
498,2013-05-13,115.99
499,2013-05-14,107.0
500,2013-05-15,108.95
501,2013-05-16,113.35
502,2013-05-17,116.73
503,2013-05-18,118.49
504,2013-05-19,116.38
505,2013-05-20,116.55
506,2013-05-21,117.5
507,2013-05-22,119.11
508,2013-05-23,123.84
509,2013-05-24,128.7
510,2013-05-25,128.97
511,2013-05-26,129.5
512,2013-05-27,126.25
513,2013-05-28,125.92
514,2013-05-29,130.35
515,2013-05-30,126.81
516,2013-05-31,127.91
517,2013-06-01,128.77
518,2013-06-02,123.0
519,2013-06-03,123.22
520,2013-06-04,120.57
521,2013-06-05,121.2
522,2013-06-06,118.78
523,2013-06-07,110.18
524,2013-06-08,109.11
525,2013-06-09,100.17
526,2013-06-10,104.22
527,2013-06-11,107.36
528,2013-06-12,106.56
529,2013-06-13,102.0
530,2013-06-14,99.01
531,2013-06-15,99.42
532,2013-06-16,99.37
533,2013-06-17,100.0
534,2013-06-18,104.5
535,2013-06-19,105.24
536,2013-06-20,102.61
537,2013-06-21,101.8
538,2013-06-22,100.0
539,2013-06-23,100.41
540,2013-06-24,99.47
541,2013-06-25,97.87
542,2013-06-26,98.77
543,2013-06-27,96.31
544,2013-06-28,89.96
545,2013-06-29,88.98
546,2013-06-30,89.53
547,2013-07-01,84.5
548,2013-07-02,88.0
549,2013-07-03,77.01
550,2013-07-04,79.4
551,2013-07-05,66.93
552,2013-07-06,66.34
553,2013-07-07,73.96
554,2013-07-08,74.4
555,2013-07-09,75.01
556,2013-07-10,86.19
557,2013-07-11,87.13
558,2013-07-12,90.17
559,2013-07-13,91.67
560,2013-07-14,90.03
561,2013-07-15,93.78
562,2013-07-16,91.55
563,2013-07-17,90.97
564,2013-07-18,85.28
565,2013-07-19,86.51
566,2013-07-20,85.04
567,2013-07-21,85.93
568,2013-07-22,85.6
569,2013-07-23,86.98
570,2013-07-24,88.42
571,2013-07-25,90.16
572,2013-07-26,89.95
573,2013-07-27,88.16
574,2013-07-28,92.71
575,2013-07-29,93.39
576,2013-07-30,96.57
577,2013-07-31,98.28
578,2013-08-01,96.62
579,2013-08-02,95.85
580,2013-08-03,95.55
581,2013-08-04,96.38
582,2013-08-05,97.81
583,2013-08-06,97.69
584,2013-08-07,97.09
585,2013-08-08,94.27
586,2013-08-09,92.27
587,2013-08-10,93.51
588,2013-08-11,94.09
589,2013-08-12,95.35
590,2013-08-13,98.15
591,2013-08-14,99.19
592,2013-08-15,98.08
593,2013-08-16,98.25
594,2013-08-17,99.71
595,2013-08-18,99.3
596,2013-08-19,102.85
597,2013-08-20,104.87
598,2013-08-21,110.43
599,2013-08-22,109.12
600,2013-08-23,107.65
601,2013-08-24,109.15
602,2013-08-25,113.12
603,2013-08-26,111.9
604,2013-08-27,117.75
605,2013-08-28,117.91
606,2013-08-29,118.5
607,2013-08-30,124.86
608,2013-08-31,128.0
609,2013-09-01,130.66
610,2013-09-02,130.15
611,2013-09-03,129.18
612,2013-09-04,122.81
613,2013-09-05,122.5
614,2013-09-06,117.67
615,2013-09-07,119.93
616,2013-09-08,118.34
617,2013-09-09,121.68
618,2013-09-10,122.07
619,2013-09-11,127.55
620,2013-09-12,126.38
621,2013-09-13,127.71
622,2013-09-14,124.49
623,2013-09-15,125.36
624,2013-09-16,126.27
625,2013-09-17,126.92
626,2013-09-18,127.0
627,2013-09-19,124.18
628,2013-09-20,122.91
629,2013-09-21,123.39
630,2013-09-22,123.27
631,2013-09-23,122.63
632,2013-09-24,123.86
633,2013-09-25,123.25
634,2013-09-26,124.84
635,2013-09-27,126.95
636,2013-09-28,126.54
637,2013-09-29,127.01
638,2013-09-30,126.25
639,2013-10-01,127.33
640,2013-10-02,103.85
641,2013-10-03,117.63
642,2013-10-04,121.94
643,2013-10-05,121.2
644,2013-10-06,122.49
645,2013-10-07,123.5
646,2013-10-08,124.13
647,2013-10-09,125.9
648,2013-10-10,126.8
649,2013-10-11,127.38
650,2013-10-12,127.98
651,2013-10-13,132.82
652,2013-10-14,135.42
653,2013-10-15,142.76
654,2013-10-16,137.56
655,2013-10-17,143.94
656,2013-10-18,152.89
657,2013-10-19,166.0
658,2013-10-20,166.59
659,2013-10-21,180.13
660,2013-10-22,189.75
661,2013-10-23,203.96
662,2013-10-24,193.87
663,2013-10-25,186.6
664,2013-10-26,179.56
665,2013-10-27,194.0
666,2013-10-28,196.62
667,2013-10-29,204.69
668,2013-10-30,197.54
669,2013-10-31,203.54
670,2013-11-01,202.15
671,2013-11-02,204.86
672,2013-11-03,210.0
673,2013-11-04,226.83
674,2013-11-05,242.9
675,2013-11-06,263.24
676,2013-11-07,291.0
677,2013-11-08,334.0
678,2013-11-09,341.24
679,2013-11-10,323.0
680,2013-11-11,343.91
681,2013-11-12,354.96
682,2013-11-13,393.5
683,2013-11-14,416.95
684,2013-11-15,412.0
685,2013-11-16,434.53
